№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
8604,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак, ул. Суханова, 9 А # АЗС №73",Газпром,+,+,,,,G
8605,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Уфимский тракт, 2А, Стерлитамак, Респ. Башкортостан, Россия, 453102",Татнефть,+,+,,,,R
8606,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Раевский тракт, 2А, Стерлитамак, Респ. Башкортостан, Россия, 453128",Татнефть,+,+,,,,R
8607,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак, Стерлибашевский тракт, 30Б",ПетролГаз,,,+,+,,A
8608,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак, ул. Профсоюзная, 17А",ПетролГаз,,,+,,,A
8609,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак, Раевский тракт, 4А",Эколог,,,+,,,A
8610,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак , Раевский тракт, 4",Эколог,,,+,,,A
8611,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак , ул. Элеваторная, 31",Эколог,,,+,,,A
8612,РОССИЯ,Республика Башкортостан,Стерлитамак,,"РБ, г.Стерлитамак, ул. Бабушкина, 12 А",Шиномонтаж,,,,,Шиномонтаж,A
8613,РОССИЯ,Республика Башкортостан,Стерлитамак,,"РБ, г. Стерлитамак, ул. Глинки, 15",Чистый Город,,,,+,,A
8614,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Респ. Башкортостан, г. Стерлитамак, ул. Салтыкова-Щедрина, 2в",Лукойл,+,+,,,"AdBlue, Доп. товары",
8615,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Респ. Башкортостан, г. Стерлитамак, Стерлибашевский тракт, 30",Лукойл,+,+,,,Доп. товары,
8616,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Респ. Башкортостан, г. Стерлитамак, ул. 23 Мая, 155а",Лукойл,+,+,,,Доп. товары,
8617,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Респ. Башкортостан, г. Стерлитамак, тракт Уфимский, 8",Лукойл,+,+,,,"AdBlue, Доп. товары",
8618,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Респ. Башкортостан, г. Стерлитамак, ул. Техническая, 7",Лукойл,+,+,+,,"AdBlue, Доп. товары",
8619,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Респ. Башкортостан, г. Стерлитамак, Профсоюзная, 26",Лукойл,+,+,,,"AdBlue, Доп. товары",
8620,РОССИЯ,Республика Башкортостан,Тазларово,,"Республика Башкортостан, Зианчуринский р-н, с. Тазларово, ул. Химиков, 12 # АЗС №75",Газпром,+,+,,,,G
8621,РОССИЯ,Республика Башкортостан,Тарабердино,,"с. Тарабердино , ул. Кирова, 55Б",БАШСНАБГАЗ,+,+,+,,,A
8622,РОССИЯ,Республика Башкортостан,ТАШКИНОВО,,"Башкортостан, городской округ Нефтекамск, с. Ташкиново",Mgas,+,+,+,,,A
8623,РОССИЯ,Республика Башкортостан,Тикеево,,"РБ, Иглинский район, с. Тикеево",Альянс,,,+,,,A
8624,РОССИЯ,Республика Башкортостан,Толбазы,,"РБ, Аургазинский район, с .Толбазы, доп: 86 км автодороги Уфа-Оренбург",Астра,,,+,,,A
8625,РОССИЯ,Республика Башкортостан,Толбазы,,"Республика Башкортостан, мкр. Аургазинский, с.п. Толбазинский сельсовет, с. Толбазы, ул. Ягафарова, соор. 155",ЭКОЙЛ,,,+,,,A
8626,РОССИЯ,Республика Башкортостан,Туймазы,,"г. Туймазы, ул. Заводская, д. 3",UFAOIL,,,,,,A
8627,РОССИЯ,Республика Башкортостан,Туймазы,,"Респ. Башкортостан, г. Туймазы, ул. С.Юлаева, 2",Лукойл,+,+,,,"AdBlue, Доп. товары",
8628,РОССИЯ,Республика Башкортостан,Туймазы,80К-002,"Респ. Башкортостан, г. Туймазы, ул. Гафурова, 41",Лукойл,+,+,,,"AdBlue, Доп. товары",
8629,РОССИЯ,Республика Башкортостан,Туймазы,,"Республика Башкортостан, Туймазы, ул. Заводская, 2",UFAOIL,+,+,,,"AdBlue, Доп. товары",
8630,РОССИЯ,Республика Башкортостан,Удельно-Дуваней,80К-029,"Респ. Башкортостан, р-н Благовещенский, на а/дУфа-Бирск у с. Удельно-Дуваней",Лукойл,+,+,,,"AdBlue, Доп. товары",
8631,РОССИЯ,Республика Башкортостан,Уфа,,"РБ, г. Уфа, ул. Бакалинская, д. 90/1",УралГаз,+,+,+,,,A
8632,РОССИЯ,Республика Башкортостан,Уфа,,"Республика Башкортостан, г. Уфа, ул. Степная, д. 1, корп. 1",ОПТИ,+,+,+,,,A
8633,РОССИЯ,Республика Башкортостан,Уфа,M5,"Республика Башкортостан, г. Уфа, ул. Степная, д. 1, корп. 2",ОПТИ,+,+,+,,,A
8634,РОССИЯ,Республика Башкортостан,Уфа,,"пр-кт Дружбы Народов, 42",КПД,+,+,,,,A
8635,РОССИЯ,Республика Башкортостан,Уфа,,"Республика Башкортостан, г. Уфа, микрорайон Шакша, 1-й проезд, 4а",ОПТИ,+,+,+,,,A
8636,РОССИЯ,Республика Башкортостан,Уфа,,"Башкортостан республика, г. Уфа, село Михайловка,  ул. Вишневая, д.1/4.",UFAOIL,+,+,+,,Метан,G
8637,РОССИЯ,Республика Башкортостан,Уфа,,"ул. Цветочная, 1/4",БАШСНАБГАЗ,+,+,+,,Метан,A
8638,РОССИЯ,Республика Башкортостан,Уфа,,"Пос. Чишмы, ул.Революционная 12/1",КУРАЙ,+,+,,,,A
8639,РОССИЯ,Республика Башкортостан,Уфа,,"г. Уфа, ул. Мингажева, д. 29, к. 1",Экотэк,+,+,+,,,A
8640,РОССИЯ,Республика Башкортостан,Уфа,1Р 199,"ул. Трамвайная, 9/1",КУРАЙ,+,+,,,,A
8641,РОССИЯ,Республика Башкортостан,Уфа,,"ул. Пугачева, 1/1",КПД,+,+,,,,A
8642,РОССИЯ,Республика Башкортостан,Уфа,,"Республика Башкортостан, г. Уфа ул. Трамвайная, 9/1",Смарт,,+,+,,,A
8643,РОССИЯ,Республика Башкортостан,Уфа,,"Пугачева ул., Уфа, Башкортостан респ., 450103, Уфа, Респ. Башкортостан, Россия, 450074",ОПТИ,+,+,,,,T
8644,РОССИЯ,Республика Башкортостан,Уфа,,"Республика Башкортостан, г. Уфа, ул. Демская, 33/1.",UFAOIL,+,+,+,,Метан,G
8645,РОССИЯ,Республика Башкортостан,Уфа,,"Строителей ул., 15 корпус 1 корпус 1, Уфа, Респ. Башкортостан, Россия, 450591",Татнефть,+,+,,,,R
